title,address,phoneNumber,website,rating,ratingCount,category,latitude,longitude,cid,normalized_website
"DND Roofing, LLC",,"(334) 489-1821
",https://dndroofingllc.com/,5,43,Roofing contractor,,,8740948555465508723,dndroofingllc.com
Cutting Edge Roofing LLC.,,"(334) 440-4736
",http://www.cuttingedgeroofingllc.com/,4.5,32,Roofing contractor,,,6632831111214731018,cuttingedgeroofingllc.com
iRoof,"404 W 4th St, Prattville, AL 36067","(334) 453-4407
",https://iroofpros.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,4.9,140,Roofing contractor,32.4642962,-86.48429170000001,2574310605079331546,iroofpros.com
I AM Roofing,"1034 E Main St, Prattville, AL 36066","(334) 245-8580
",https://iamroofing.com/,4.8,191,Roofing contractor,32.4600811,-86.44623059999999,3647426214693506182,iamroofing.com
Envision Roofing,,"(334) 531-4970
",https://envisionroofingcompany.com/?utm_source=google&utm_medium=gmb&utm_campaign=seo,4.9,28,Roofing contractor,,,6883839834048365772,envisionroofingcompany.com
Allen Cannon Roofing,,"(334) 313-1919
",http://www.allencannonroofing.com/,5,31,Roofing contractor,,,8468198396344358223,allencannonroofing.com
Premium Roofing Company,"933 N Memorial Dr, Prattville, AL 36067","(334) 414-3968
",https://www.premiumroofingal.com/,4.6,46,Roofing contractor,32.4843958,-86.45459629999999,8004885292724777687,premiumroofingal.com
Raymundo's Roofing LLC,"2733 Grandview Rd, Millbrook, AL 36054","(334) 782-8086
",,5,154,Roofing contractor,32.4855059,-86.3779946,9426214905033595909,
A&L Roofing,,"(334) 462-7877
",https://www.alexroofs.com/,5,19,Roofing contractor,,,15875494275311621103,alexroofs.com
Blue Bird Roofing,"1031 E Main St, Prattville, AL 36066",(334) 318-6030,https://bluebirdroofingal.com/,4.7,14,Roofing contractor,32.460592999999996,-86.4462667,10362995059180065948,bluebirdroofingal.com
Quality Roofing & Construction Inc,"114 A Industrial Park Rd, Prattville, AL 36067",(334) 365-5256,http://www.qualityroofingandconstruction.com/,4.4,8,Roofing contractor,32.4297239,-86.46341009999999,4543459080726002740,qualityroofingandconstruction.com
Feathered Ridge Roofing Company,,(334) 868-5449,,5,10,Roofing contractor,,,14391196197942640817,
Pierce Roofing,"452 Co Rd 41, Prattville, AL 36067",(334) 365-7062,http://pierceroofinginc.com/,4.7,15,Roofing contractor,32.3895485,-86.5679788,10520674197006338080,pierceroofinginc.com
Peak Standard Roofing,"968 E Main St, Prattville, AL 36066",(334) 415-5998,http://psroofs.com/,5,10,Roofing contractor,32.460061599999996,-86.4482332,1601441655683924521,psroofs.com
RoofLife,"233c Deatsville Hwy, Millbrook, AL 36054",(334) 451-1153,https://roofyourlife.com/,5,58,Roofing contractor,32.5200275,-86.37617039999999,11181176940950708059,roofyourlife.com
Ace Roofing Enterprises LLC,"646 AL-143, Millbrook, AL 36054",(334) 290-7832,http://www.aceroofingenterprises.com/,4.3,10,Roofing contractor,32.4407741,-86.358997,15857503534534960297,aceroofingenterprises.com
Prattville Roofing Services,"110 5 S Memorial Dr, Prattville, AL 36067",(855) 798-0051,,4.7,3,Roofing contractor,32.464718999999995,-86.450102,17198879827522400659,
"Pitch Perfect Roofing And Remodeling, Llc","105 Canterbury Ct, Prattville, AL 36067",(256) 402-3983,,5,1,Roofing contractor,32.4975111,-86.4713142,10374454644269571936,
Guyette Roofing and Construction,"1849 Upper Wetumpka Rd, Montgomery, AL 36107",(334) 279-8326,http://www.guyetteroofing.com/,4.9,223,Roofing contractor,32.3864154,-86.2816981,7165311489107831008,guyetteroofing.com
