title,address,phoneNumber,website,rating,ratingCount,category,latitude,longitude,cid,normalized_website
"DND Roofing, LLC",,(334) 489-1821,https://dndroofingllc.com/,5,43,Roofing contractor,,,8740948555465508723,dndroofingllc.com
Cutting Edge Roofing LLC.,,(334) 440-4736,http://www.cuttingedgeroofingllc.com/,4.5,32,Roofing contractor,,,6632831111214731018,cuttingedgeroofingllc.com
iRoof,"404 W 4th St, Prattville, AL 36067",(334) 453-4407,https://iroofpros.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,4.9,140,Roofing contractor,32.4642962,-86.48429170000001,2574310605079331546,iroofpros.com
Envision Roofing,,(334) 531-4970,https://envisionroofingcompany.com/?utm_source=google&utm_medium=gmb&utm_campaign=seo,4.9,28,Roofing contractor,,,6883839834048365772,envisionroofingcompany.com
Premium Roofing Company,"933 N Memorial Dr, Prattville, AL 36067",(334) 414-3968,https://www.premiumroofingal.com/,4.6,46,Roofing contractor,32.4843958,-86.45459629999999,8004885292724777687,premiumroofingal.com
I AM Roofing,"1034 E Main St, Prattville, AL 36066",(334) 245-8580,https://iamroofing.com/,4.8,191,Roofing contractor,32.4600811,-86.44623059999999,3647426214693506182,iamroofing.com
Raymundo's Roofing LLC,"2733 Grandview Rd, Millbrook, AL 36054",(334) 782-8086,,5,154,Roofing contractor,32.4855059,-86.3779946,9426214905033595909,
A&L Roofing,,(334) 462-7877,https://www.alexroofs.com/,5,19,Roofing contractor,,,15875494275311621103,alexroofs.com
Blue Bird Roofing,"1031 E Main St, Prattville, AL 36066",(334) 318-6030,https://bluebirdroofingal.com/,4.7,14,Roofing contractor,32.460592999999996,-86.4462667,10362995059180065948,bluebirdroofingal.com
Allen Cannon Roofing,,(334) 313-1919,http://www.allencannonroofing.com/,5,31,Roofing contractor,,,8468198396344358223,allencannonroofing.com
Ace Roofing Enterprises LLC,"646 AL-143, Millbrook, AL 36054",(334) 290-7832,http://www.aceroofingenterprises.com/,4.3,10,Roofing contractor,32.4407741,-86.358997,15857503534534960297,aceroofingenterprises.com
A & L Roofing LLC,"3251 Edgewood Ct, Millbrook, AL 36054",(334) 462-7877,https://alroofingllc.com/,5,4,Roofing contractor,32.476996899999996,-86.3687996,15566794864789108287,alroofingllc.com
"Alabama Roof Detectives, LLC",,(205) 826-4915,https://alroofdetectives.com/,5,42,Roofing contractor,,,7252324949553594289,alroofdetectives.com
"Team Roofing and Construction, LLC",,(205) 383-1911,,5,3,Roofing contractor,,,5117444358855518400,
Guyette Roofing and Construction,"1849 Upper Wetumpka Rd, Montgomery, AL 36107",(334) 279-8326,http://www.guyetteroofing.com/,4.9,223,Roofing contractor,32.3864154,-86.2816981,7165311489107831008,guyetteroofing.com
Eagle C Roofing LLC,"147 Reka St, Elmore, AL 36025",(334) 202-5082,https://eaglecroofingllc.com/,5,10,Roofing contractor,32.5212742,-86.3504103,12903017158664101247,eaglecroofingllc.com
Homesouth Roofing,"3996 US-231, Wetumpka, AL 36093",(334) 202-3975,https://www.homesouthroofing.com/,4.8,87,Roofing contractor,32.4996291,-86.2159688,1749916728625804764,homesouthroofing.com
"River Region Contracting, LLC","12489 Atlanta Hwy, Montgomery, AL 36117",(334) 356-8635,https://www.riverregioncontracting.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.8,44,Roofing contractor,32.368708,-86.06308,11391995242704830720,riverregioncontracting.com
H & L Adjuster Services,,(334) 320-9063,,5,3,Roofing contractor,,,12446187053544437583,
Southern homes roofing,,(334) 303-8780,,5,3,Roofing contractor,,,762646732426493999,
